key	es-ES
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	Filtros de estado de servicio
K45::XTM.vuio[glossary.section.lines.listing.sorting]	Clasificación
K45::XTM.vuio[glossary.section.lines.listing.cards]	Lectura de tarjetas de línea
K45::XTM.vuio[glossary.section.lines.identity.name]	Nombre de línea
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	Número de ruta interna
K45::XTM.vuio[glossary.section.lines.identity.displayId]	Identificador de visualización
K45::XTM.vuio[glossary.section.lines.identity.shields]	Formas de escudo e insignias.
K45::XTM.vuio[glossary.section.lines.identity.color]	Color fijo versus color de paleta
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	Día y noche
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	solo dia
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	Sólo noche
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	Desactivado
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	Detalles de la línea de apertura
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	Primera parada
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	Rutas simétricas
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	Plataformas opuestas
K45::XTM.vuio[glossary.section.map.linear.switch]	Cambiando de vainilla
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	fondo blanco
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	Modo medio viaje
K45::XTM.vuio[glossary.section.map.stops.names]	Detener nombres y edificios.
K45::XTM.vuio[glossary.section.map.stops.distances]	Distancias
K45::XTM.vuio[glossary.section.map.stops.districts]	Límites del distrito
K45::XTM.vuio[glossary.section.map.stops.outside]	Conexiones exteriores
K45::XTM.vuio[glossary.section.map.interchanges.connected]	Líneas conectadas
K45::XTM.vuio[glossary.section.map.interchanges.select]	Seleccionar rutas vinculadas
K45::XTM.vuio[glossary.section.map.vehicles.live]	Posiciones de vehículos en vivo
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	Datos de próxima llegada
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	Odómetro y mantenimiento
K45::XTM.vuio[glossary.section.map.advanced.demand]	Esperando y demanda cargada
K45::XTM.vuio[glossary.section.map.advanced.lap]	Estimación de vuelta completa
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	Ocupación media
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	Ocupación versus hacinamiento de plataformas
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	Cómo se calcula la ocupación
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	Modos de visualización del mapa
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	Detalles del segmento
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	Informes de la ciudad
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	Integración de listados
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	Crear y eliminar grupos
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	Tarifa predeterminada y viajes gratis
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	Excepciones horarias
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	Vista previa del horario de tarifas
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	Asignar líneas
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	Advertencia de cambio compartido
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	Tipo de transporte y alcance de la carga.
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	Crear, renombrar, eliminar
K45::XTM.vuio[glossary.section.groups.compositions.primary]	Vehículos primarios y secundarios.
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	Prevención de duplicados y límites
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	Asignación desde una línea o de forma masiva
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	Conflictos de modelos y políticas externas
K45::XTM.vuio[glossary.section.appearance.library.city]	paletas de la ciudad
K45::XTM.vuio[glossary.section.appearance.library.default]	Biblioteca predeterminada
K45::XTM.vuio[glossary.section.appearance.library.import]	Importar archivos .hex
K45::XTM.vuio[glossary.section.appearance.library.editor]	Acceso en modo editor
K45::XTM.vuio[glossary.section.appearance.editing.colors]	Agregar y reordenar colores
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	Copiar, pegar, reemplazar, agregar
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	Asignar paleta por tipo de transporte
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	Indexación basada en números
K45::XTM.vuio[glossary.section.appearance.we.availability]	Disponibilidad
K45::XTM.vuio[glossary.section.appearance.we.steps]	Pasos y paradas de destino.
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	Fotogramas clave dinámicos y estáticos
K45::XTM.vuio[glossary.section.appearance.we.extras]	Prefijos, sufijos y portapapeles
K45::XTM.vuio[glossary.imagePreview.title]	Imagen
K45::XTM.vuio[glossary.imagePreview.tooltip]	Haga clic para ver la imagen completa
K45::XTM.vuio[whatsNew.title]	Bienvenido a Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	Leer más tarde
K45::XTM.vuio[whatsNew.showOnFuture]	Mostrar el modal de novedades en el primer inicio de una nueva versión
::GAlertModals	Modales de alerta
::LShowWhatsNewOnNewVersion	Mostrar el modal de novedades en el primer inicio de una nueva versión
::DShowWhatsNewOnNewVersion	Si está activado, el diálogo de novedades se abre una vez al entrar en una ciudad o en el editor después de instalar o actualizar este mod. Si está desactivado, no aparecerá automáticamente en versiones futuras.
K45::XTM.vuio[occupancyReport.topLimited]	Top {count}
