key	fr-fr
K45::XTM.vuio[lineList.sort.length]	Longueur de ligne
K45::XTM.vuio[lineViewer.dataTotalPassengersWaiting]	Passagers en attente dans toutes les gares
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	Écrans principaux et bascule XTM
K45::XTM.vuio[lineList.lineDisabled]	Ligne désactivée
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	Carte linéaire
K45::XTM.vuio[occupancyReport.mode.occupancyCargo]	Rapport d'occupation : Cargo
K45::XTM.vuio[glossary.category.groups.incompatibilities]	Incompatibilités
K45::XTM.vuio[glossary.category.start.settings]	Paramètres et assistance
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	Jour et nuit
K45::XTM.vuio[lineViewer.dataNextVehicleToBeMaintained]	Prochain véhicule mis hors service pour entretien
K45::XTM.vuio[paletteEditor.shuffleColors]	Mélanger les couleurs
K45::XTM.vuio[vehicleModelGroups.modelsRequired]	Ajoutez au moins une composition avec un véhicule avant que les modifications puissent être enregistrées
K45::XTM.vuio[lineViewerEditor.internalNumber.tooltip]	Utilisé par les palettes et la dénomination
K45::XTM.vuio[lineViewer.advancedData]	Statistiques avancées
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	Désactivé
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	Conflits de politique externe et de modèle
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	Type de transport et portée du fret
K45::XTM.vuio[weIntegrationBlinds.keyframeType.RouteName]	Nom de l'itinéraire
K45::XTM.vuio[glossary.section.groups.compositions.primary]	Véhicules primaires et secondaires
K45::XTM.vuio[lineList.sort.title]	Trier les lignes
K45::XTM.vuio[fareGroups.exceptions.summary]	Le tarif {fare}¢ sera appliqué du {start} :00 au {end} :59
K45::XTM.vuio[lineList.sort.routeNumber]	Numéro de ligne
K45::XTM.vuio[lineViewer.showVehiclesLbl]	Afficher les véhicules
K45::XTM.vuio[lineList.editColor]	Changer la couleur de la ligne
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	Attribution de lignes
K45::XTM.vuio[lineViewer.dataTotalPassengersLoaded]	Passagers dans les véhicules
K45::XTM.vuio[vehicleModelGroups.selectGroup]	Sélectionnez un groupe de modèles de véhicules
K45::XTM.vuio[vehicleModelGroups.selectVehicles.moveToGroup]	Passer à un autre groupe
K45::XTM.vuio[fareGroups.exceptions.empty]	Aucune exception
K45::XTM.vuio[lineViewerEditor.displayIdentifier]	Identificateur d'itinéraire
K45::XTM.vuio[vehicleModelGroups.mode]	Groupes de modèles de véhicules
K45::XTM.vuio[seeXtmMap]	Voir la carte XTM
K45::XTM.vuio[weIntegrationBlinds.theEndOfLine]	<Fin de la ligne>
K45::XTM.vuio[lineStationDetail.noNextVehicleData]	La ligne n'a pas de véhicules !
K45::XTM.vuio[lineList.hideAll]	Tout cacher
K45::XTM.vuio[vehicleModelGroups.sort.capacity]	Capacité
K45::XTM.vuio[paletteEditor.append.title]	Ajouter une palette
K45::XTM.vuio[vehicleModelGroups.linkedEmpty]	Aucune ligne liée
K45::XTM.vuio[palettesSettings.title]	Paramètres modaux vers palette
K45::XTM.vuio[fareGroups.exceptions.saveBlocked]	Correction des heures d'exception avant que les modifications puissent être enregistrées
K45::XTM.vuio[palettes.section.cargo]	Cargaison
K45::XTM.vuio[occupancyReport.changeMode]	Changer de mode
K45::XTM.vuio[vehicleModelGroups.removeAllLines]	Supprimer toutes les lignes de ce groupe
K45::XTM.vuio[lineViewer.occupancyDayAverageTooltip]	Occupation moyenne des véhicules tout au long de la journée.
K45::XTM.vuio[lineList.showAll]	Afficher tout
K45::XTM.vuio[glossary.section.map.stops.outside]	Connexions extérieures
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	Panneau d'informations sélectionné
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	Tarif par défaut et voyage gratuit
K45::XTM.vuio[lineList.edit.internalNumber]	Numéro de ligne interne
K45::XTM.vuio[fareGroups.exceptions.startHour]	Commencer
K45::XTM.vuio[lineList.filterDayNight]	Jour et nuit
K45::XTM.vuio[vehicleModelGroups.carriage]	Transport
K45::XTM.vuio[lineList.noMatchingLines]	Aucune ligne correspondante
K45::XTM.vuio[fareGroups.otherGroup.unknown]	un autre groupe
K45::XTM.vuio[fareGroups.availableEmpty]	Aucune ligne correspondante
K45::XTM.vuio[vehicleModelGroups.addComposition]	Ajouter une composition
K45::XTM.vuio[vehicleModelGroups.delete.message]	Voulez-vous vraiment supprimer le groupe de modèles de véhicules "{name}" ?
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	Jour seulement
K45::XTM.vuio[weIntegrationBlinds.useUntil]	À utiliser jusqu'à : {stationName}
K45::XTM.vuio[vehicleModelGroups.availableEmpty]	Aucune ligne correspondante
K45::XTM.vuio[weIntegrationBlinds.sampleFormat]	Échantillon statique : "{sampleValue}" ({sampleType}) - Nombre total d'images clés : {keyframeCount}
K45::XTM.vuio[paletteEditor.clipboard.copyFailed]	Impossible de copier dans le presse-papiers
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	Plateformes opposées
K45::XTM.vuio[whatsNew.title]	Bienvenue dans Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	Lire plus tard
K45::XTM.vuio[whatsNew.showOnFuture]	Afficher la fenêtre des nouveautés au premier lancement d'une nouvelle version
::GAlertModals	Fenêtres modales d'alerte
::LShowWhatsNewOnNewVersion	Afficher la fenêtre des nouveautés au premier lancement d'une nouvelle version
::DShowWhatsNewOnNewVersion	Si activé, la fenêtre des nouveautés s'ouvre une fois lorsque vous entrez dans une ville ou l'éditeur après l'installation ou la mise à jour de ce mod. Si désactivé, elle n'apparaîtra pas automatiquement lors des futures versions.
K45::XTM.vuio[occupancyReport.topLimited]	Top {count}
K45::XTM.vuio[palettes.paletteCount]	{count} palettes
