key	zh-HANT
K45::XTM.vuio[glossary.section.appearance.library.editor]	編輯器模式訪問
K45::XTM.vuio[glossary.section.appearance.editing.colors]	新增和重新排序顏色
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	複製、貼上、替換、附加
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	按傳輸類型指派調色板
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	基於數字的索引
K45::XTM.vuio[glossary.section.appearance.we.availability]	可用性
K45::XTM.vuio[glossary.section.appearance.we.steps]	步數和目的地站點
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	動態和靜態關鍵幀
K45::XTM.vuio[glossary.section.appearance.we.extras]	前綴、後綴和剪貼簿
K45::XTM.vuio[glossary.imagePreview.title]	影像
K45::XTM.vuio[glossary.imagePreview.tooltip]	點擊看完整圖片

K45::XTM.vuio[whatsNew.title]	歡迎使用 Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	確定
K45::XTM.vuio[whatsNew.readLater]	稍後閱讀
K45::XTM.vuio[whatsNew.showOnFuture]	在新版本首次啟動時顯示新功能對話框
::GAlertModals	提醒視窗
::LShowWhatsNewOnNewVersion	在新版本首次啟動時顯示新功能對話框
::DShowWhatsNewOnNewVersion	啟用後，在安裝或更新此模組後進入城市或編輯器時，新功能對話框將開啟一次。停用後，在未來的版本中不會自動出現。
K45::XTM.vuio[lineViewer.dataNextMaintenanceValueFmt]	還有 {distance}
K45::XTM.vuio[weIntegrationBlinds.framesNumberFmt]	顯示 {frames} 幀
K45::XTM.vuio[lineStationDetail.waiting.passengers]	乘客等待：{quantity}
K45::XTM.vuio[fareGroups.ticketPrice.andOthers]	以及另外 {count} 個
K45::XTM.vuio[vehicleModelGroups.delete.message]	您確定要刪除車輛模型群組「{name}」嗎？
