key	ru-RU
K45::XTM.vuio[glossary.section.start.settings.logging]	Логгирование и диагностика
K45::XTM.vuio[glossary.section.start.settings.localization]	Локализация
K45::XTM.vuio[glossary.section.start.settings.support]	Ссылки на поддержку
K45::XTM.vuio[glossary.section.lines.listing.modes]	Виды транспорта
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	Пассажирские и грузовые фильтры
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	Фильтры состояния обслуживания
K45::XTM.vuio[glossary.section.lines.listing.sorting]	Сортировка
K45::XTM.vuio[glossary.section.lines.listing.cards]	Чтение линейных карт
K45::XTM.vuio[glossary.section.lines.identity.name]	Имя линии
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	Номер внутреннего маршрута
K45::XTM.vuio[glossary.section.lines.identity.displayId]	Идентификатор отображения
K45::XTM.vuio[glossary.section.lines.identity.shields]	Формы щитов и значки
K45::XTM.vuio[glossary.section.lines.identity.color]	Фиксированный цвет по сравнению с цветом палитры
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	День и ночь
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	Только день
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	Только ночь
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	Неполноценный
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	Подробности открытия строки
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	Первая остановка
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	Симметричные маршруты
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	Противоположные платформы
K45::XTM.vuio[glossary.section.map.linear.switch]	Переход с ванили
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	Белый фон
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	Полупутевой режим
K45::XTM.vuio[glossary.section.map.stops.names]	Остановить названия и здания
K45::XTM.vuio[glossary.section.map.stops.distances]	Расстояния
K45::XTM.vuio[glossary.section.map.stops.districts]	Границы района
K45::XTM.vuio[glossary.section.map.stops.outside]	Внешние соединения
K45::XTM.vuio[glossary.section.map.interchanges.connected]	Соединённые линии
K45::XTM.vuio[glossary.section.map.interchanges.select]	Выбор связанных маршрутов
K45::XTM.vuio[glossary.section.map.vehicles.live]	Позиции транспортных средств в реальном времени
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	Данные о следующем прибытии
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	Одометр и обслуживание
K45::XTM.vuio[glossary.section.map.advanced.demand]	Ожидание и загруженный спрос
K45::XTM.vuio[glossary.section.map.advanced.lap]	Оценка полного круга
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	Средняя заполняемость
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	Заполняемость и переполненность платформы
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	Как рассчитывается заполняемость
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	Режимы отображения карты
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	Детали сегмента
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	Городские отчеты
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	Интеграция листинга
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	Создание и удаление групп
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	Тариф по умолчанию и бесплатный проезд
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	Часовые исключения
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	Предварительный просмотр расписания тарифов
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	Назначение линий
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	Предупреждение об общих изменениях
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	Вид транспорта и объём груза
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	«Создание, переименование, удаление»
K45::XTM.vuio[glossary.section.groups.compositions.primary]	Первичные и второстепенные транспортные средства
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	Предотвращение дублирования и ограничения
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	Назначение построчно или массово
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	Внешняя политика и модельные конфликты
K45::XTM.vuio[glossary.section.appearance.library.city]	Городские палитры
K45::XTM.vuio[glossary.section.appearance.library.default]	Библиотека по умолчанию
K45::XTM.vuio[glossary.section.appearance.library.import]	Импорт файлов .hex
K45::XTM.vuio[glossary.section.appearance.library.editor]	Доступ в режиме редактора
K45::XTM.vuio[glossary.section.appearance.editing.colors]	Добавляйте и меняйте порядок цветов
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	«Копировать, вставить, заменить, добавить»
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	Назначение палитры по типу транспорта
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	Индексация на основе чисел
K45::XTM.vuio[glossary.section.appearance.we.availability]	Доступность
K45::XTM.vuio[glossary.section.appearance.we.steps]	Шаги и остановки назначения
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	Динамические и статические ключевые кадры
K45::XTM.vuio[glossary.section.appearance.we.extras]	«Префиксы, суффиксы и буфер обмена»
K45::XTM.vuio[glossary.imagePreview.title]	Изображение
K45::XTM.vuio[glossary.imagePreview.tooltip]	Нажмите, чтобы увидеть полное изображение

K45::XTM.vuio[whatsNew.title]	Добро пожаловать в Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	Прочитать позже
K45::XTM.vuio[whatsNew.showOnFuture]	Показывать окно новинок при первом запуске новой версии
::GAlertModals	Модальные окна оповещений
::LShowWhatsNewOnNewVersion	Показывать окно новинок при первом запуске новой версии
::DShowWhatsNewOnNewVersion	Если включено, диалог новинок откроется один раз при входе в город или редактор после установки или обновления этого мода. Если отключено, он не будет появляться автоматически в будущих версиях.
