key	zh-HANS
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	占用率与平台拥挤度
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	入住率如何计算
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	地图显示模式
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	细分详情
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	城市报告
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	上市整合
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	创建和删除组
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	默认票价和免费旅行
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	小时例外
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	票价表预览
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	分配线路
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	共享更改警告
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	运输类型及货物范围
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	创建、重命名、删除
K45::XTM.vuio[glossary.section.groups.compositions.primary]	主要和次要车辆
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	重复预防和限制
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	从行或批量分配
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	外部政策与模式冲突
K45::XTM.vuio[glossary.section.appearance.library.city]	城市调色板
K45::XTM.vuio[glossary.section.appearance.library.default]	默认库
K45::XTM.vuio[glossary.section.appearance.library.import]	导入 .hex 文件
K45::XTM.vuio[glossary.section.appearance.library.editor]	编辑器模式访问
K45::XTM.vuio[glossary.section.appearance.editing.colors]	添加和重新排序颜色
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	复制、粘贴、替换、附加
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	按传输类型分配调色板
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	基于数字的索引
K45::XTM.vuio[glossary.section.appearance.we.availability]	可用性
K45::XTM.vuio[glossary.section.appearance.we.steps]	步数和目的地站点
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	动态和静态关键帧
K45::XTM.vuio[glossary.section.appearance.we.extras]	前缀、后缀和剪贴板
K45::XTM.vuio[glossary.imagePreview.title]	图像
K45::XTM.vuio[glossary.imagePreview.tooltip]	点击查看完整图片

K45::XTM.vuio[whatsNew.title]	欢迎使用 Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	确定
K45::XTM.vuio[whatsNew.readLater]	稍后阅读
K45::XTM.vuio[whatsNew.showOnFuture]	在新版本首次启动时显示新功能对话框
::GAlertModals	提醒弹窗
::LShowWhatsNewOnNewVersion	在新版本首次启动时显示新功能对话框
::DShowWhatsNewOnNewVersion	启用后，在安装或更新此模组后进入城市或编辑器时，新功能对话框将打开一次。禁用后，在未来的版本中不会自动出现。
