key	it-IT
K45::XTM.vuio[glossary.category.appearance.we]	Scrivi ovunque
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	Cosa aggiunge XTM
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	Schermate principali e interruttore XTM
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	Linee passeggeri e rotte merci
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	Panoramica dei trasporti
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	Pannello informazioni selezionato
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	Mappa lineare
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	Strumento tavolozza dell'editor
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	Impostazioni predefinite dell'interfaccia utente
K45::XTM.vuio[glossary.section.start.settings.logging]	Registrazione e diagnostica
K45::XTM.vuio[glossary.section.start.settings.localization]	Localizzazione
K45::XTM.vuio[glossary.section.start.settings.support]	Collegamenti di supporto
K45::XTM.vuio[glossary.section.lines.listing.modes]	Modalità di trasporto
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	Filtri passeggeri e merci
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	Filtri dello stato del servizio
K45::XTM.vuio[glossary.section.lines.listing.sorting]	Ordinamento
K45::XTM.vuio[glossary.section.lines.listing.cards]	Lettura delle carte di linea
K45::XTM.vuio[glossary.section.lines.identity.name]	Nome della linea
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	Numero del percorso interno
K45::XTM.vuio[glossary.section.lines.identity.displayId]	Visualizza identificatore
K45::XTM.vuio[glossary.section.lines.identity.shields]	Forme e distintivi di scudi
K45::XTM.vuio[glossary.section.lines.identity.color]	Colore fisso rispetto al colore della tavolozza
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	Giorno e notte
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	Solo giorno
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	Solo notte
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	Disabilitato
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	Dettagli della riga di apertura
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	Prima fermata
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	Percorsi simmetrici
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	Piattaforme opposte
K45::XTM.vuio[glossary.section.map.linear.switch]	Passaggio dalla vaniglia
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	Sfondo bianco
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	Modalità mezzo viaggio
K45::XTM.vuio[glossary.section.map.stops.names]	Stop a nomi ed edifici
K45::XTM.vuio[glossary.section.map.stops.distances]	Distanze
K45::XTM.vuio[glossary.section.map.stops.districts]	Confini distrettuali
K45::XTM.vuio[glossary.section.map.stops.outside]	Connessioni esterne
K45::XTM.vuio[glossary.section.map.interchanges.connected]	Linee collegate
K45::XTM.vuio[glossary.section.map.interchanges.select]	Selezione di percorsi collegati
K45::XTM.vuio[glossary.section.map.vehicles.live]	Posizioni dei veicoli in tempo reale
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	Dati del prossimo arrivo
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	Contachilometri e manutenzione
K45::XTM.vuio[glossary.section.map.advanced.demand]	Domanda attesa e carica
K45::XTM.vuio[glossary.section.map.advanced.lap]	Stima del giro completo
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	Occupazione media
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	Occupazione vs affollamento della piattaforma
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	Come viene calcolata l'occupazione
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	Modalità di visualizzazione della mappa
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	Dettagli del segmento
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	Rapporti della città
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	Integrazione dell'elenco
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	Creazione ed eliminazione di gruppi
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	Tariffa predefinita e viaggio gratuito
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	Eccezioni orarie
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	Anteprima del programma tariffario
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	Assegnazione delle linee
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	Avviso di modifica condivisa
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	Tipo di trasporto e ambito di carico
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	Creare, rinominare, eliminare
K45::XTM.vuio[glossary.section.groups.compositions.primary]	Veicoli primari e secondari
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	Prevenzione e limiti duplicati
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	Assegnazione da una linea o in blocco
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	Politica esterna e conflitti di modello
K45::XTM.vuio[glossary.section.appearance.library.city]	Tavolozze di città
K45::XTM.vuio[glossary.section.appearance.library.default]	Libreria predefinita
K45::XTM.vuio[glossary.section.appearance.library.import]	Importazione di file .hex
K45::XTM.vuio[glossary.section.appearance.library.editor]	Accesso in modalità editor
K45::XTM.vuio[glossary.section.appearance.editing.colors]	Aggiungi e riordina i colori
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	Copia, incolla, sostituisci, aggiungi
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	Assegna tavolozza per tipo di trasporto
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	Indicizzazione basata sui numeri
K45::XTM.vuio[glossary.section.appearance.we.availability]	Disponibilità
K45::XTM.vuio[glossary.section.appearance.we.steps]	Passi e fermate di destinazione
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	Fotogrammi chiave dinamici e statici
K45::XTM.vuio[glossary.section.appearance.we.extras]	Prefissi, suffissi e appunti
K45::XTM.vuio[glossary.imagePreview.title]	Immagine
K45::XTM.vuio[glossary.imagePreview.tooltip]	Fare clic per vedere l'immagine completa
K45::XTM.vuio[whatsNew.title]	Benvenuto in Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	Leggi più tardi
K45::XTM.vuio[whatsNew.showOnFuture]	Mostra la finestra delle novità al primo avvio di una nuova versione
::GAlertModals	Finestre modali di avviso
::LShowWhatsNewOnNewVersion	Mostra la finestra delle novità al primo avvio di una nuova versione
::DShowWhatsNewOnNewVersion	Se abilitato, la finestra delle novità si apre una volta quando entri in una città o nell'editor dopo aver installato o aggiornato questo mod. Se disabilitato, non apparirà automaticamente nelle versioni future.
