key	de-DE
K45::XTM.vuio[glossary.category.lines.listing]	Auflistung und Filter
K45::XTM.vuio[glossary.category.lines.identity]	Identität & Aussehen
K45::XTM.vuio[glossary.category.lines.scheduling]	Planung und Aktionen
K45::XTM.vuio[glossary.category.lines.stopOrder]	Stoppen Sie die Bestellung
K45::XTM.vuio[glossary.category.map.linear]	Lineare XTM-Karte
K45::XTM.vuio[glossary.category.map.stops]	Stopps und Geografie
K45::XTM.vuio[glossary.category.map.interchanges]	Austausch
K45::XTM.vuio[glossary.category.map.vehicles]	Fahrzeuge
K45::XTM.vuio[glossary.category.map.advanced]	Erweiterte Leitungsdaten
K45::XTM.vuio[glossary.category.statistics.occupancy]	Belegung und Gedränge
K45::XTM.vuio[glossary.category.groups.fareBasics]	Tarifgruppen
K45::XTM.vuio[glossary.category.groups.fareTime]	Zeitbasierte Tarife
K45::XTM.vuio[glossary.category.groups.fareMembership]	Tarifmitgliedschaft
K45::XTM.vuio[glossary.category.groups.modelBasics]	Grundlagen der Modellgruppe
K45::XTM.vuio[glossary.category.groups.compositions]	Kompositionen
K45::XTM.vuio[glossary.category.groups.modelMembership]	Mustermitgliedschaft
K45::XTM.vuio[glossary.category.groups.incompatibilities]	Inkompatibilitäten
K45::XTM.vuio[glossary.category.appearance.library]	Palettenbibliothek
K45::XTM.vuio[glossary.category.appearance.editing]	Palettenbearbeitung
K45::XTM.vuio[glossary.category.appearance.autoColor]	Automatische Färbung
K45::XTM.vuio[glossary.category.appearance.we]	Schreiben Sie überall
K45::XTM.vuio[glossary.section.start.overview.whatAdds]	Was XTM hinzufügt
K45::XTM.vuio[glossary.section.start.overview.mainScreens]	Hauptbildschirme und der XTM-Schalter
K45::XTM.vuio[glossary.section.start.overview.linesVsCargo]	Passagierlinien versus Frachtrouten
K45::XTM.vuio[glossary.section.start.gettingAround.overview]	Transportübersicht
K45::XTM.vuio[glossary.section.start.gettingAround.sip]	Ausgewähltes Infofeld
K45::XTM.vuio[glossary.section.start.gettingAround.linearMap]	Lineare Karte
K45::XTM.vuio[glossary.section.start.gettingAround.editorPalettes]	Editor-Palettentool
K45::XTM.vuio[glossary.section.start.settings.uiDefaults]	UI-Standardwerte
K45::XTM.vuio[glossary.section.start.settings.logging]	Protokollierung und Diagnose
K45::XTM.vuio[glossary.section.start.settings.localization]	Lokalisierung
K45::XTM.vuio[glossary.section.start.settings.support]	Support-Links
K45::XTM.vuio[glossary.section.lines.listing.modes]	Transportmittel
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	Passagier- und Frachtfilter
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	Dienststatusfilter
K45::XTM.vuio[glossary.section.lines.listing.sorting]	Sortierung
K45::XTM.vuio[glossary.section.lines.listing.cards]	Linecards lesen
K45::XTM.vuio[glossary.section.lines.identity.name]	Leitungsname
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	Interne Routennummer
K45::XTM.vuio[glossary.section.lines.identity.displayId]	Anzeige-ID
K45::XTM.vuio[glossary.section.lines.identity.shields]	Schildformen und Abzeichen
K45::XTM.vuio[glossary.section.lines.identity.color]	Feste Farbe im Vergleich zur Palettenfarbe
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	Tag und Nacht
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	NUR AM TAG
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	Nur Nacht
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	Deaktiviert
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	Details zur Eröffnungszeile
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	Erster Halt
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	Symmetrische Routen
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	Gegenüberliegende Plattformen
K45::XTM.vuio[glossary.section.map.linear.switch]	Wechsel von Vanille
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	Weißer Hintergrund
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	Halbfahrtmodus
K45::XTM.vuio[glossary.section.map.stops.names]	Stoppen Sie Namen und Gebäude
K45::XTM.vuio[glossary.section.map.stops.distances]	Entfernungen
K45::XTM.vuio[glossary.section.map.stops.districts]	Bezirksgrenzen
K45::XTM.vuio[glossary.section.map.stops.outside]	Externe Verbindungen
K45::XTM.vuio[glossary.section.map.interchanges.connected]	Verbundene Leitungen
K45::XTM.vuio[glossary.section.map.interchanges.select]	Auswählen verknüpfter Routen
K45::XTM.vuio[glossary.section.map.vehicles.live]	Live-Fahrzeugpositionen
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	Daten zur nächsten Ankunft
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	Kilometerzähler und Wartung
K45::XTM.vuio[glossary.section.map.advanced.demand]	Wartende und geladene Nachfrage
K45::XTM.vuio[glossary.section.map.advanced.lap]	Schätzung der gesamten Runde
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	Durchschnittliche Auslastung
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	Auslastung versus Überfüllung des Bahnsteigs
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	So wird die Belegung berechnet
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	Kartenanzeigemodi
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	Segmentdetails
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	Stadtberichte
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	Listing-Integration
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	Gruppen erstellen und löschen
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	Standardtarif und kostenlose Fahrt
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	Stundenausnahmen
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	Vorschau des Tarifplans
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	Leitungen zuordnen
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	Warnung vor gemeinsamer Änderung
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	Transportart und Frachtumfang
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	Erstellen, Umbenennen, Löschen
K45::XTM.vuio[glossary.section.groups.compositions.primary]	Primär- und Sekundärfahrzeuge
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	Doppelte Prävention und Grenzen
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	Zuweisen aus einer Zeile oder in großen Mengen
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	Außenpolitik und Modellkonflikte
K45::XTM.vuio[glossary.section.appearance.library.city]	Stadtpaletten
K45::XTM.vuio[glossary.section.appearance.library.default]	Standardbibliothek
K45::XTM.vuio[glossary.section.appearance.library.import]	Importieren von .hex-Dateien
K45::XTM.vuio[glossary.section.appearance.library.editor]	Zugriff im Editormodus
K45::XTM.vuio[glossary.section.appearance.editing.colors]	Farben hinzufügen und neu anordnen
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	Kopieren, einfügen, ersetzen, anhängen
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	Palette nach Transportart zuordnen
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	Zahlenbasierte Indizierung
K45::XTM.vuio[glossary.section.appearance.we.availability]	Verfügbarkeit
K45::XTM.vuio[glossary.section.appearance.we.steps]	Stufen und Zielhaltestellen
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	Dynamische und statische Keyframes
K45::XTM.vuio[glossary.section.appearance.we.extras]	Präfixe, Suffixe und Zwischenablage
K45::XTM.vuio[glossary.imagePreview.title]	Bild
K45::XTM.vuio[glossary.imagePreview.tooltip]	Klicken Sie hier, um das vollständige Bild anzuzeigen
K45::XTM.vuio[whatsNew.title]	Willkommen bei Extended Transport Manager {version}
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	Später lesen
K45::XTM.vuio[whatsNew.showOnFuture]	„Was ist neu“-Dialog beim ersten Start einer neuen Version anzeigen
::GAlertModals	Warnungsdialoge
::LShowWhatsNewOnNewVersion	„Was ist neu“-Dialog beim ersten Start einer neuen Version anzeigen
::DShowWhatsNewOnNewVersion	Wenn aktiviert, öffnet sich der „Was ist neu“-Dialog einmal, wenn Sie nach der Installation oder Aktualisierung dieses Mods eine Stadt oder den Editor betreten. Wenn deaktiviert, erscheint er bei zukünftigen Versionen nicht automatisch.
