key	ko-KR
K45::XTM.vuio[glossary.section.start.settings.logging]	로깅 및 진단
K45::XTM.vuio[glossary.section.start.settings.localization]	현지화
K45::XTM.vuio[glossary.section.start.settings.support]	지원 링크
K45::XTM.vuio[glossary.section.lines.listing.modes]	운송 모드
K45::XTM.vuio[glossary.section.lines.listing.passengerCargo]	승객 및 화물 필터
K45::XTM.vuio[glossary.section.lines.listing.serviceState]	서비스 상태 필터
K45::XTM.vuio[glossary.section.lines.listing.sorting]	정렬
K45::XTM.vuio[glossary.section.lines.listing.cards]	라인 카드 읽기
K45::XTM.vuio[glossary.section.lines.identity.name]	라인 이름
K45::XTM.vuio[glossary.section.lines.identity.routeNumber]	내부 경로 번호
K45::XTM.vuio[glossary.section.lines.identity.displayId]	디스플레이 식별자
K45::XTM.vuio[glossary.section.lines.identity.shields]	방패 모양 및 배지
K45::XTM.vuio[glossary.section.lines.identity.color]	고정 색상과 팔레트 색상 비교
K45::XTM.vuio[glossary.section.lines.scheduling.dayNight]	낮과 밤
K45::XTM.vuio[glossary.section.lines.scheduling.dayOnly]	하루만
K45::XTM.vuio[glossary.section.lines.scheduling.nightOnly]	밤에만
K45::XTM.vuio[glossary.section.lines.scheduling.disabled]	장애가 있는
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	개통 노선 세부정보
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	첫 번째 정류장
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	대칭 경로
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	반대 플랫폼
K45::XTM.vuio[glossary.section.map.linear.switch]	바닐라에서 전환
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	흰색 배경
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	반여행 모드
K45::XTM.vuio[glossary.section.map.stops.names]	정류장 이름 및 건물
K45::XTM.vuio[glossary.section.map.stops.distances]	거리
K45::XTM.vuio[glossary.section.map.stops.districts]	지구 경계
K45::XTM.vuio[glossary.section.map.stops.outside]	외부 연결
K45::XTM.vuio[glossary.section.map.interchanges.connected]	연결된 선
K45::XTM.vuio[glossary.section.map.interchanges.select]	연결된 경로 선택
K45::XTM.vuio[glossary.section.map.vehicles.live]	실제 차량 위치
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	다음 도착 데이터
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	주행거리계 및 유지보수
K45::XTM.vuio[glossary.section.map.advanced.demand]	대기 및 로드된 수요
K45::XTM.vuio[glossary.section.map.advanced.lap]	전체 랩 추정치
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	평균 점유율
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	점유 대 플랫폼 혼잡
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	점유율 계산 방법
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	지도 표시 모드
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	세그먼트 세부정보
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	도시 보고서
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	상장 통합
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	그룹 생성 및 삭제
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	기본요금 및 자유여행
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	시간 예외
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	요금표 미리보기
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	라인 할당
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	공유 변경 경고
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	운송 유형 및 화물 범위
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	생성, 이름 바꾸기, 삭제
K45::XTM.vuio[glossary.section.groups.compositions.primary]	기본 및 보조 차량
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	중복 방지 및 제한
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	라인에서 또는 대량으로 할당
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	외부 정책과 모델 충돌
K45::XTM.vuio[glossary.section.appearance.library.city]	도시 팔레트
K45::XTM.vuio[glossary.section.appearance.library.default]	기본 라이브러리
K45::XTM.vuio[glossary.section.appearance.library.import]	.hex 파일 가져오기
K45::XTM.vuio[glossary.section.appearance.library.editor]	편집자 모드 액세스
K45::XTM.vuio[glossary.section.appearance.editing.colors]	색상 추가 및 재정렬
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	복사, 붙여넣기, 바꾸기, 추가
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	운송 유형별로 팔레트 할당
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	숫자 기반 인덱싱
K45::XTM.vuio[glossary.section.appearance.we.availability]	유효성
K45::XTM.vuio[glossary.section.appearance.we.steps]	걸음 수 및 목적지 정류장
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	동적 및 정적 키프레임
K45::XTM.vuio[glossary.section.appearance.we.extras]	접두사, 접미사 및 클립보드
K45::XTM.vuio[glossary.imagePreview.title]	영상
K45::XTM.vuio[glossary.imagePreview.tooltip]	전체 이미지를 보려면 클릭하세요.

K45::XTM.vuio[whatsNew.title]	Extended Transport Manager {version}에 오신 것을 환영합니다
K45::XTM.vuio[whatsNew.ok]	확인
K45::XTM.vuio[whatsNew.readLater]	나중에 읽기
K45::XTM.vuio[whatsNew.showOnFuture]	새 버전 첫 실행 시 새 소식 모달 표시
::GAlertModals	알림 모달
::LShowWhatsNewOnNewVersion	새 버전 첫 실행 시 새 소식 모달 표시
::DShowWhatsNewOnNewVersion	활성화하면 이 MOD를 설치하거나 업데이트한 후 도시 또는 에디터에 들어갈 때 새 소식 대화 상자가 한 번 열립니다. 비활성화하면 이후 버전에서 자동으로 표시되지 않습니다.
