key	ja-JP
K45::XTM.vuio[glossary.section.lines.scheduling.openDetails]	オープニングラインの詳細
K45::XTM.vuio[glossary.section.lines.stopOrder.firstStop]	最初の停留所
K45::XTM.vuio[glossary.section.lines.stopOrder.symmetric]	対称ルート
K45::XTM.vuio[glossary.section.lines.stopOrder.opposite]	反対側ホーム
K45::XTM.vuio[glossary.section.map.linear.switch]	バニラからの切り替え
K45::XTM.vuio[glossary.section.map.linear.whiteBg]	白い背景
K45::XTM.vuio[glossary.section.map.linear.halfTrip]	ハーフトリップモード
K45::XTM.vuio[glossary.section.map.stops.names]	停留所の名前と建物
K45::XTM.vuio[glossary.section.map.stops.distances]	距離
K45::XTM.vuio[glossary.section.map.stops.districts]	地区境界
K45::XTM.vuio[glossary.section.map.stops.outside]	外部とのつながり
K45::XTM.vuio[glossary.section.map.interchanges.connected]	接続されたライン
K45::XTM.vuio[glossary.section.map.interchanges.select]	リンクされたルートの選択
K45::XTM.vuio[glossary.section.map.vehicles.live]	車両のライブ位置
K45::XTM.vuio[glossary.section.map.vehicles.nextArrival]	次回入荷データ
K45::XTM.vuio[glossary.section.map.vehicles.odometer]	走行距離計とメンテナンス
K45::XTM.vuio[glossary.section.map.advanced.demand]	待機中およびロード済みのデマンド
K45::XTM.vuio[glossary.section.map.advanced.lap]	フルラップの見積もり
K45::XTM.vuio[glossary.section.map.advanced.avgOccupancy]	平均占有率
K45::XTM.vuio[glossary.section.statistics.occupancy.concepts]	占有率とプラットフォームの混雑状況
K45::XTM.vuio[glossary.section.statistics.occupancy.howCalculated]	占有率の計算方法
K45::XTM.vuio[glossary.section.statistics.occupancy.mapDisplay]	地図表示モード
K45::XTM.vuio[glossary.section.statistics.occupancy.segmentDetails]	セグメントの詳細
K45::XTM.vuio[glossary.section.statistics.occupancy.cityReports]	市報
K45::XTM.vuio[glossary.section.statistics.occupancy.listing]	上場統合
K45::XTM.vuio[glossary.section.groups.fareBasics.create]	グループの作成と削除
K45::XTM.vuio[glossary.section.groups.fareBasics.default]	デフォルト運賃と無料旅行
K45::XTM.vuio[glossary.section.groups.fareTime.exceptions]	時間の例外
K45::XTM.vuio[glossary.section.groups.fareTime.preview]	運賃表のプレビュー
K45::XTM.vuio[glossary.section.groups.fareMembership.assign]	行の割り当て
K45::XTM.vuio[glossary.section.groups.fareMembership.shared]	共有変更の警告
K45::XTM.vuio[glossary.section.groups.modelBasics.scope]	輸送の種類と貨物の範囲
K45::XTM.vuio[glossary.section.groups.modelBasics.crud]	「作成、名前変更、削除」
K45::XTM.vuio[glossary.section.groups.compositions.primary]	一次車両と二次車両
K45::XTM.vuio[glossary.section.groups.compositions.duplicates]	重複の防止と制限
K45::XTM.vuio[glossary.section.groups.modelMembership.assign]	行からまたは一括で割り当てる
K45::XTM.vuio[glossary.section.groups.incompatibilities.external]	外部ポリシーとモデルの競合
K45::XTM.vuio[glossary.section.appearance.library.city]	シティパレット
K45::XTM.vuio[glossary.section.appearance.library.default]	デフォルトのライブラリ
K45::XTM.vuio[glossary.section.appearance.library.import]	.hex ファイルのインポート
K45::XTM.vuio[glossary.section.appearance.library.editor]	エディターモードでのアクセス
K45::XTM.vuio[glossary.section.appearance.editing.colors]	色の追加と並べ替え
K45::XTM.vuio[glossary.section.appearance.editing.clipboard]	「コピー、貼り付け、置換、追加」
K45::XTM.vuio[glossary.section.appearance.autoColor.assign]	トランスポートタイプごとにパレットを割り当てる
K45::XTM.vuio[glossary.section.appearance.autoColor.indexing]	数値ベースのインデックス作成
K45::XTM.vuio[glossary.section.appearance.we.availability]	可用性
K45::XTM.vuio[glossary.section.appearance.we.steps]	手順と目的地の停留所
K45::XTM.vuio[glossary.section.appearance.we.keyframes]	動的キーフレームと静的キーフレーム
K45::XTM.vuio[glossary.section.appearance.we.extras]	「プレフィックス、サフィックス、およびクリップボード」
K45::XTM.vuio[glossary.imagePreview.title]	画像
K45::XTM.vuio[glossary.imagePreview.tooltip]	クリックすると全体画像が表示されます

K45::XTM.vuio[whatsNew.title]	Extended Transport Manager {version} へようこそ
K45::XTM.vuio[whatsNew.ok]	OK
K45::XTM.vuio[whatsNew.readLater]	後で読む
K45::XTM.vuio[whatsNew.showOnFuture]	新バージョンの初回起動時に新機能ダイアログを表示する
::GAlertModals	アラートモーダル
::LShowWhatsNewOnNewVersion	新バージョンの初回起動時に新機能ダイアログを表示する
::DShowWhatsNewOnNewVersion	有効にすると、このMODをインストールまたは更新した後、都市またはエディターに入ったときに新機能ダイアログが一度表示されます。無効にすると、今後のバージョンでは自動的に表示されません。
